,Brand,Model_Year,Model,Platform,Category,Sub_Cat,Stack,Reach,SR_ratio,TT_length,ST_length,ST_Angle,HT_length,HT_Angle,CS_length,BB_drop,BB_height,sizes.2.geometry.source.frontCenterMM,Wheelbase,Standover,Rake,Trail
524,Specialized,2023,S-Works Aethos - Dura-Ace Di2,Aethos,road,endurance,544.0,384.0,1.417,540.0,481.0,74.0,137.0,73.0,410.0,72.0,268.0,579.0,978.0,748.0,44.0,58.0
525,Orbea,2023,AVANT H60,AVANT,road,endurance,565.0,375.0,1.507,539.0,470.0,73.75,161.0,71.9,425.0,75.0,264.0,,1004.0,761.0,48.0,
528,Trek,2023,Boone 6,Boone,road,cyclocross,562.0,383.0,1.467,544.0,513.0,74.0,138.0,72.0,425.0,68.0,,,1010.0,779.0,,67.0
545,Kona,2022,Jake the Snake,Major Jake,road,cyclocross,560.0,385.0,1.455,546.0,520.0,74.0,137.9,70.5,425.0,70.0,282.0,610.0,1026.0,787.0,45.0,
546,CUBE,2023,"AGREE C:62, SLT",AGREE,road,aero,572.0,391.0,1.463,560.0,500.0,73.5,157.0,72.5,412.0,71.0,,,1007.0,,,
552,Specialized,2023,Turbo Creo SL Comp E5,Turbo Creo,road,endurance,615.0,384.0,1.602,566.0,500.0,73.5,185.5,73.0,430.0,78.0,283.0,605.0,1023.0,836.0,50.0,58.0
556,Salsa,2022,Cutthroat C GRX 810 2x,Cutthroat C,road,gravel,619.53,385.28,1.608,560.0,508.0,74.25,127.0,69.0,445.0,70.0,,,1090.31,810.51,51.0,
569,Surly,2022,Straggler,Straggler,road,gravel,511.0,371.0,1.377,520.0,460.0,74.0,110.0,71.0,405.0,54.0,,,977.0,751.0,44.0,
570,Giant,2022,Revolt E+,Revolt E+,road,gravel,601.0,381.0,1.577,565.0,500.0,73.0,165.0,71.0,455.0,85.0,,,1059.0,798.0,50.0,68.8
571,Cannondale,2022,SuperX Women's Force 1,SuperX,road,cyclocross,555.0,378.0,1.468,537.0,524.0,74.0,132.0,71.0,422.0,69.0,281.0,607.0,1020.0,802.0,55.0,62.0
578,Salsa,2022,Warbird C Rival XPLR eTap AXS,Warbird C,road,gravel,565.97,371.97,1.522,545.0,475.0,73.0,140.0,70.75,430.0,70.0,,,1022.39,744.3,50.0,
581,Orbea,2022,VECTOR DROP,VECTOR,road,gravel,571.0,395.0,1.446,559.0,525.0,74.0,150.0,71.0,435.0,68.0,283.0,,1052.0,800.0,51.0,
583,Scott,2023,Speedster Gravel 50,Speedster,road,gravel,547.2,382.0,1.432,536.5,520.0,74.0,123.0,70.0,435.0,71.0,283.0,,1037.7,786.0,,
595,CUBE,2023,NULANE,NULANE,road,gravel,587.0,395.0,1.486,574.0,520.0,73.0,172.0,72.0,442.0,60.0,,,1052.0,,,
598,Giant,2023,"TCR Advanced Pro, Disc 1 AR",TCR,road,race,545.0,388.0,1.405,550.0,470.0,73.5,145.0,73.0,405.0,70.0,,,980.0,747.0,45.0,59.2
613,Cannondale,2022,Synapse Neo 2,Synapse Neo,road,endurance,609.0,396.0,1.538,576.0,535.0,73.5,191.0,71.0,438.0,67.0,282.0,644.0,1073.0,810.0,55.0,62.0
617,Rocky Mountain,2022,Solo 30,Solo,road,gravel,580.0,399.0,1.454,560.0,490.0,74.0,160.0,71.0,425.0,70.0,,,1041.0,800.0,,
619,Scott,2023,Addict Gravel 30,Contessa Addict,road,gravel,565.3,387.1,1.46,554.5,528.0,73.5,140.0,71.0,425.0,71.0,283.0,,1029.2,807.0,,
623,Cannondale,2023,SystemSix Hi-MOD Ultegra Di2,SystemSix Hi-MOD,road,aero,540.0,386.0,1.399,544.0,482.0,73.7,128.0,73.0,405.0,72.0,269.0,581.0,975.0,762.0,45.0,57.0
624,CUBE,2023,AXIAL WS GTC SLX,AXIAL,road,endurance,561.0,376.0,1.492,537.0,490.0,74.0,152.0,72.0,415.0,74.0,,,995.0,,,
641,Cannondale,2022,SystemSix Carbon Ultegra Di2,SystemSix,road,aero,540.0,386.0,1.399,544.0,482.0,73.7,128.0,73.0,405.0,72.0,269.0,581.0,975.0,762.0,45.0,57.0
643,Surly,2022,Bridge Club,Bridge Club,road,gravel,576.0,419.0,1.375,595.0,457.2,73.0,130.0,71.0,435.0,60.0,,,1073.0,780.0,43.0,
644,Surly,2022,Midnight Special,Midnight Special,road,gravel,544.0,379.0,1.435,540.0,500.0,73.5,110.0,72.0,425.0,65.0,,,1007.0,778.0,50.0,
649,Kona,2022,Libre CR,Libre,road,gravel,610.0,386.0,1.58,572.0,510.0,73.0,175.4,71.0,440.0,72.0,288.0,628.0,1058.0,803.0,50.0,
652,Santa Cruz,2023,STIGMATA Force 1x AXS RSV 650b / Carbon CC,STIGMATA,road,gravel,576.0,380.0,1.516,545.0,520.0,74.0,150.0,71.5,425.0,72.0,282.0,600.0,1015.0,776.0,,
660,Orbea,2023,ORCA AERO M11eLTD,ORCA,road,aero,523.0,380.0,1.376,532.9,499.0,73.7,117.2,72.2,408.0,76.0,260.0,,974.8,750.1,,57.5
729,BMC,2023,Trackmachine AL ONE,Trackmachine,road,track,563.0,413.0,1.363,580.0,585.0,73.5,178.0,73.0,390.0,58.0,,616.0,999.0,807.0,43.0,58.0
730,Surly,2022,Ogre,Ogre,road,gravel,613.0,427.6,1.434,615.0,508.0,73.0,130.0,72.0,440.0,68.0,,,1084.6,824.5,43.0,
731,Kona,2022,Libre EL,Libre EL,road,gravel,610.0,386.0,1.58,573.0,510.0,73.0,175.0,71.0,440.0,72.0,271.0,628.0,1058.0,772.0,50.0,
732,CUBE,2023,LITENING AERO C:68X SL,LITENING,road,aero,542.0,389.0,1.393,550.0,500.0,73.5,125.0,73.0,410.0,69.0,,,984.0,,,
743,Cannondale,2023,SuperSix EVO Hi-MOD Disc Ultegra,SuperSix EVO,road,race,534.0,378.0,1.413,528.0,477.0,74.3,130.0,71.2,408.0,74.0,268.0,597.0,994.0,,55.0,58.0
775,Specialized,2023,Allez Sprint Comp,Allez Sprint,road,race,537.0,387.0,1.388,541.0,510.0,74.0,133.0,73.0,410.0,72.0,268.0,580.0,979.0,765.0,44.0,58.0
776,Specialized,2022,Allez Road Bike,Allez,road,race,552.0,376.0,1.468,542.0,490.0,73.25,140.0,73.0,420.0,77.0,263.0,576.0,983.0,745.0,47.0,55.0
786,Specialized,2023,Diverge STR Pro,Diverge STR,road,gravel,593.0,383.0,1.548,556.0,470.0,74.0,115.0,71.25,429.0,85.0,265.0,619.0,1034.0,753.0,55.0,61.0
789,Salsa,2022,Warroad C Ultegra Di2,Warroad C,road,gravel,565.55,372.1,1.52,545.0,485.0,73.0,152.0,71.0,415.0,72.0,,,1004.68,747.41,51.0,
792,BMC,2023,Kaius 01 ONE,Kaius,road,gravel,550.0,401.0,1.372,569.0,468.0,73.0,123.0,72.0,420.0,80.0,,608.0,1015.0,756.0,45.0,68.0
800,Surly,2022,Ghost Grappler,Ghost Grappler,road,touring,623.0,420.0,1.483,610.0,437.2,73.0,200.0,69.5,425.0,50.0,,,1109.0,796.0,50.0,
801,Trek,2023,1120,1120,road,gravel,642.0,451.0,1.424,619.0,470.0,73.5,110.0,70.3,440.0,75.0,315.0,,1142.0,792.0,,85.0
