,Brand,Model_Year,Model,Platform,Category,Sub_Cat,Stack,Reach,SR_ratio,TT_length,ST_length,ST_Angle,HT_length,HT_Angle,CS_length,BB_drop,BB_height,sizes.2.geometry.source.frontCenterMM,Wheelbase,Standover,Rake,Trail
5122,Salsa,2021,Vaya GRX 600,Vaya,road,gravel,590.1,365.2,1.616,540.0,470.0,73.5,145.0,71.5,450.0,75.0,,,1034.0,742.0,50.0,
5136,Salsa,2018,VAYA TIAGRA,VAYA,road,gravel,590.1,365.2,1.616,540.0,470.0,73.5,145.0,71.5,450.0,75.0,,,1034.0,742.0,50.0,
5207,Norco,2012,CRR Two,CRR,road,race,563.0,388.0,1.451,560.0,540.0,73.0,160.0,73.0,405.0,70.0,270.0,590.0,985.0,793.0,,
5245,Salsa,2021,Fargo Apex 1,Fargo,road,gravel,643.0,368.0,1.747,565.0,457.2,73.0,140.0,69.0,445.0,70.0,,,1083.0,778.0,51.0,
5246,Salsa,2020,Warroad Carbon Apex 1 650,Warroad,road,gravel,565.55,372.1,1.52,545.0,485.0,73.0,152.0,71.0,415.0,72.0,,,1004.68,747.41,51.0,
5259,Salsa,2018,FARGO GX 29,FARGO,road,gravel,643.1,368.4,1.746,565.0,457.2,73.0,140.0,69.0,445.0,70.0,,,1077.0,778.0,45.0,
5261,Surly,2020,Troll,Troll,road,touring,570.0,415.0,1.373,595.0,457.0,73.0,145.0,71.0,425.0,40.0,,,1066.0,778.0,43.0,
5264,BMC,2022,Roadmachine AMP TWO USA,Roadmachine AMP,road,endurance,562.0,386.0,1.456,546.0,500.0,74.2,156.0,72.0,410.0,71.0,,597.0,997.0,782.0,45.0,63.0
5268,Giant,2019,Road-E+ 1 Pro,Road-E+,road,endurance,598.0,387.0,1.545,570.0,530.0,73.0,150.0,71.5,455.0,70.0,,,1058.0,818.0,42.0,76.0
5273,Trek,2017,Silque S 7 Women's,Silque,road,race,560.0,371.0,1.509,530.0,465.0,74.2,158.0,72.0,410.0,72.0,,,983.0,749.0,,60.0
5291,Surly,2020,Pack Rat,Pack Rat,road,touring,512.0,378.0,1.354,520.0,460.0,74.5,120.0,74.0,410.0,45.0,,,965.0,751.0,44.0,
5295,Norco,2021,Section C3 Women's,Section,road,gravel,556.0,386.0,1.44,548.0,442.0,73.75,137.5,72.25,415.0,72.5,271.5,,1002.0,706.0,51.0,56.0
5328,BMC,2017,granfondo GF02,granfondo GF02,road,endurance,563.0,375.0,1.501,542.0,495.0,73.5,159.0,72.0,412.0,71.0,,592.0,993.0,760.0,50.0,57.0
5329,Kona,2016,Honky Tonk,Honky Tonk,road,endurance,581.0,378.0,1.537,550.0,540.0,73.5,165.0,72.0,422.0,74.0,,593.0,1003.0,775.0,43.0,
5330,Kona,2015,HONKY TONK,HONKY TONK,road,endurance,581.0,378.0,1.537,550.0,540.0,73.5,165.0,72.0,418.0,74.0,,593.0,999.0,785.0,43.0,
5339,Surly,2020,ECR,ECR,road,gravel,603.0,410.5,1.469,595.0,457.2,73.0,140.0,69.0,435.0,60.0,,,1096.0,802.0,43.2,
5348,Norco,2019,Tactic Ultegra,Tactic,road,race,557.0,395.0,1.41,560.0,530.0,73.5,150.0,73.0,407.5,70.0,270.0,595.0,992.0,780.0,,
5432,Norco,2012,CCX 3,CCX,road,cyclocross,564.0,378.0,1.492,545.0,560.0,73.5,130.0,71.5,430.0,65.0,284.0,596.0,1017.0,808.0,,
5519,Salsa,2021,Marrakesh Sora,Marrakesh,road,gravel,563.3,373.1,1.51,540.0,520.0,73.5,110.0,70.75,455.0,77.0,,,1049.7,761.2,55.0,
5525,Salsa,2018,Marrakesh Deore Drop Bar,Marrakesh Deore Drop,road,touring,563.3,373.1,1.51,540.0,520.0,73.5,110.0,70.75,455.0,77.0,,,1049.7,761.2,55.0,
5616,Cannondale,2018,Synapse AL Disc Tiagra,700 Synapse,road,endurance,55.0,37.1,1.482,53.1,443.0,74.3,14.3,71.0,41.3,27.0,,,101.0,72.2,6.0,
5663,Kona,2018,Roadhouse,Roadhouse,road,endurance,582.0,378.0,1.54,550.0,540.0,73.5,155.0,72.0,422.0,74.0,271.0,595.0,1005.0,790.0,45.0,
5668,Norco,2019,VLT R2,VLT,road,general-road,600.0,410.0,1.463,590.0,470.0,73.3,155.0,70.0,480.0,74.0,289.0,654.0,1124.0,772.0,,
5672,Giant,2019,ToughRoad E+ GX,ToughRoad E+ GX,road,gravel,605.0,400.0,1.513,585.0,535.0,73.0,160.0,71.0,455.0,70.0,,,1056.0,786.0,42.0,76.0
5674,Giant,2021,"TCX, Advanced Pro 1",TCX Advanced,road,cyclocross,572.0,385.0,1.486,560.0,545.0,73.0,163.0,72.0,430.0,60.0,,,1030.0,826.0,50.0,61.8
5677,Giant,2020,TCX SLR 1,TCX,road,cyclocross,562.0,398.0,1.412,570.0,503.0,73.0,168.0,73.0,405.0,65.0,,,997.0,787.0,45.0,57.2
5809,CUBE,2021,AGREE HYBRID C:62 RACE,AGREE HYBRID C:62,road,race,621.0,387.0,1.605,583.0,550.0,74.0,197.0,72.5,430.0,74.0,,,1031.0,810.0,,
5848,Kona,2018,Wheelhouse,Wheelhouse,road,endurance,582.0,378.0,1.54,550.0,540.0,73.5,155.0,72.0,422.0,74.0,271.0,595.0,1005.0,790.0,45.0,
5850,Kona,2017,Esatto,Esatto,road,endurance,575.0,380.0,1.513,550.0,540.0,73.5,165.0,72.0,422.0,74.0,271.0,593.0,1005.0,780.0,44.0,
5856,Kona,2016,Penthouse,Penthouse,road,endurance,581.0,378.0,1.537,550.0,540.0,73.5,165.0,72.0,422.0,74.0,,593.0,1003.0,775.0,43.0,
5858,Kona,2015,ESATTO,ESATTO,road,endurance,579.0,378.0,1.532,550.0,540.0,73.5,165.0,72.0,418.0,74.0,,595.0,1001.0,785.0,45.0,
5861,Kona,2014,ESATTO TI,ESATTO TI,road,endurance,577.0,379.0,1.522,550.0,540.0,73.5,165.0,72.0,418.0,74.0,,593.0,1000.0,785.0,44.0,
5862,Salsa,2022,Stormchaser GRX 810 1x SUS,Stormchaser,road,gravel,568.1,364.8,1.557,548.0,475.0,72.2,125.0,69.2,435.0,64.0,,,1041.5,765.6,51.0,
5871,Trek,2020,X500,X500,road,gravel,680.0,407.0,1.671,615.0,600.0,73.0,205.0,71.5,445.0,70.0,289.0,,1098.0,877.0,,73.0
5880,Trek,2017,720 Disc,720 Disc,road,gravel,565.0,385.0,1.468,550.0,506.0,73.7,128.0,71.8,426.0,72.0,276.0,,1014.0,770.0,,67.0
5889,Specialized,2012,S-Works + McLaren Venge,+ McLaren Venge,road,aero,544.0,386.0,1.409,548.0,507.0,73.5,140.0,73.0,405.0,69.0,,583.0,978.0,789.0,45.0,57.0
5911,CUBE,2020,CROSS RACE,CROSS,road,cyclocross,578.0,383.0,1.509,554.0,560.0,73.5,160.0,72.0,430.0,68.0,,,1021.0,816.0,,
5927,CUBE,2019,KATHMANDU SL,KATHMANDU,road,touring,634.0,389.0,1.63,583.0,540.0,73.0,150.0,71.0,445.0,60.0,,,1072.0,,,
5947,Kona,2018,Zone LTD,Zone LTD,road,endurance,577.0,391.0,1.476,565.0,560.0,73.5,165.0,72.0,420.0,75.0,265.0,608.0,1017.0,815.0,44.0,
5953,CUBE,2017,DELHI Pro,DELHI,road,touring,667.0,389.0,1.715,593.0,540.0,73.0,185.0,71.0,445.0,60.0,,,1083.0,,,
5957,CUBE,2017,TONOPAH Pro,TONOPAH,road,touring,651.0,396.0,1.644,595.0,520.0,73.0,160.0,71.0,440.0,55.0,,,1078.0,,,
5980,Kona,2015,SUTRA,SUTRA,road,touring,573.0,380.0,1.508,550.0,530.0,73.5,145.0,71.0,435.0,65.0,,604.0,1031.0,800.0,43.0,
5981,Kona,2015,KAPU,KAPU,road,general-road,584.0,377.0,1.549,550.0,540.0,73.5,165.0,72.0,418.0,74.0,,594.0,1000.0,790.0,44.0,
5982,Kona,2015,ZONE,ZONE,road,endurance,577.0,394.0,1.464,565.0,560.0,73.5,165.0,72.0,418.0,75.0,,609.0,1016.0,820.0,45.0,
6014,Kona,2013,ZONE TWO,ZONE TWO,road,endurance,577.0,394.0,1.464,565.0,560.0,73.5,165.0,72.0,418.0,75.0,265.0,608.0,1015.0,818.0,44.0,
6015,Kona,2013,RED ZONE,RED ZONE,road,endurance,577.0,394.0,1.464,565.0,560.0,73.5,165.0,72.0,418.0,75.0,265.0,608.0,1015.0,818.0,44.0,
6104,Giant,2021,"Ease-E+ 2 Low, Step Through",Ease-E+,road,general-road,656.0,397.0,1.652,590.0,500.0,72.0,180.0,70.0,476.0,60.0,,,1125.0,,42.0,82.0
6105,Pivot,2021,E-Vault Team GRX Di2 w/ Carbon Wheels,E-Vault Team,road,gravel,574.0,395.0,1.453,565.0,548.0,73.5,155.0,72.0,420.0,70.0,,,1020.0,787.0,,
6110,Surly,2018,Pacer,Pacer,road,general-road,516.5,385.0,1.342,526.4,500.0,74.5,99.0,72.0,410.0,72.0,,,985.6,764.4,50.0,
6111,CUBE,2017,DELHI HYBRID 400,DELHI HYBRID,road,touring,662.0,391.0,1.693,593.0,520.0,73.0,185.0,71.0,470.0,60.0,,,1114.0,,,
6114,Kona,2017,Tonk,Tonk,road,endurance,581.0,378.0,1.537,550.0,540.0,73.5,165.0,72.0,422.0,74.0,271.0,593.0,1003.0,785.0,43.0,
6118,Norco,2015,Cabot 2,Cabot,road,touring,592.0,375.0,1.579,550.0,520.0,73.5,150.0,71.5,450.0,72.0,277.0,608.0,1048.0,791.0,,
6123,Kona,2014,ZING,ZING,road,race,563.0,398.0,1.415,565.0,560.0,73.5,160.0,72.0,410.0,72.0,,609.0,1009.0,792.0,45.0,
6132,Kona,2013,ZING SUPREME,ZING SUPREME,road,race,571.0,381.0,1.499,550.0,540.0,73.5,173.0,72.0,410.0,72.0,268.0,594.0,991.0,798.0,45.0,
6375,Trek,2023,Crockett Disc Frameset,Crockett Disc,road,cyclocross,547.0,379.0,1.443,531.0,493.0,74.5,123.0,71.5,425.0,70.0,,,1005.0,761.0,,71.0
6417,Salsa,2023,Fargo Ti Frameset,Fargo Ti,road,gravel,643.0,368.0,1.747,565.0,457.2,73.0,140.0,69.0,445.0,70.0,,,1083.0,781.0,51.0,
6421,Norco,2022,Section S Frame/Fork,Section S Frame/Fork,road,gravel,555.0,386.0,1.438,548.0,490.0,73.75,125.0,72.25,415.0,72.5,271.5,,1002.0,717.0,51.0,56.0
6593,Specialized,2013,S-Works Tarmac SL4 OSBB Frameset,Tarmac SL4 OSBB,road,race,543.0,387.0,1.403,548.0,510.0,73.5,140.0,73.0,405.0,69.0,,583.0,978.0,775.0,45.0,57.0
6962,Specialized,2013,S-Works Venge OSBB Frameset,Venge OSBB,road,aero,544.0,386.0,1.409,548.0,507.0,73.5,140.0,73.0,405.0,69.0,,583.0,978.0,789.0,45.0,57.0
7093,Specialized,2017,AWOL Expert Frameset,AWOL Expert,road,touring,617.0,392.0,1.574,575.0,495.0,73.5,185.0,72.0,455.0,70.0,295.5,626.0,1072.0,794.0,50.0,66.0
7194,Kona,2018,Esatto Ti,Esatto Ti,road,endurance,577.0,379.0,1.522,550.0,540.0,73.5,165.0,72.0,418.0,74.0,,593.0,1000.0,785.0,44.0,
